1362692526.869344/1559833828.493169 [dpd] HTTP[3] added originator support CONTENTLINE[4]
1362692526.869344/1559833828.493177 [dpd] HTTP[3] added responder support CONTENTLINE[5]
1362692526.869344/1559833828.493185 [dpd] TCP[1] added child HTTP[3]
1362692526.869344/1559833828.493192 [dpd] 141.142.228.5:59856 > 192.150.187.43:80 activated HTTP analyzer due to port 80
1362692526.869344/1559833828.493203 [dpd] TCP added packet child CONNSIZE
1362692526.869344/1559833828.493212 [dpd] TCP[1] added child PIA_TCP[2]
1362692526.869344/1559833828.493267 [dpd] TCP[1] DeliverPacket(44, T, 18446744073709551615, 0x7ffc06367620, 44) [\xe9\xd0\x00P\xfe!2:\x00\x00\x00\x00\xb0\x02\xff\xff;\xc0\x00\x00\x02\x04\x05\xb4\x01\x03\x03\x04\x01\x01\x08\x0a\x16J\xdd \x00\x00\x00\x00...]
1362692526.869344/1559833828.493287 [dpd] CONNSIZE[6] DeliverPacket(0, T, 1, 0x7ffc06367620, 0) []
1362692526.869344/1559833828.493293 [dpd] PIA_TCP[2] FirstPacket(T)
1362692526.869344/1559833828.493299 [rules] HdrTest 1 matches (+-)
1362692526.869344/1559833828.493308 [rules] HdrTest 44 matches (+-)
1362692526.869344/1559833828.493313 [rules] Matching Payload rules [1,0] on ||
1362692526.869344/1559833828.493427 [rules] Matching Payload rules [1,0] on ||
1362692526.869344/1559833828.493471 [main-loop] realtime=1559833828.493471 iosrc=threading::Manager ts=1362692526.869344
1362692526.869344/1559833828.493483 [main-loop] realtime=1559833828.493483 iosrc=PktSrc ts=1362692526.939084
1362692526.939084/1559833828.493519 [dpd] TCP[1] DeliverPacket(40, T, 18446744073709551615, 0x7ffc06367620, 40) [\x00P\xe9\xd0\xa5\xaf\xce>\xfe!2;\xa0\x128\x90.P\x00\x00\x02\x04\x05\xb4\x04\x02\x08\x0a/\x89BY\x16J\xdd \x01\x03\x03\x07]
1362692526.939084/1559833828.493549 [dpd] CONNSIZE[6] DeliverPacket(0, F, 1, 0x7ffc06367620, 0) []
1362692526.939084/1559833828.493555 [dpd] PIA_TCP[2] FirstPacket(F)
1362692526.939084/1559833828.493559 [rules] HdrTest 1 matches (+-)
1362692526.939084/1559833828.493570 [rules] HdrTest 44 matches (+-)
1362692526.939084/1559833828.493575 [rules] Matching Payload rules [1,0] on ||
1362692526.939084/1559833828.493581 [rules] Matching Payload rules [1,0] on ||
1362692526.939084/1559833828.493603 [main-loop] realtime=1559833828.493603 iosrc=threading::Manager ts=1362692526.939084
1362692526.939084/1559833828.493614 [main-loop] realtime=1559833828.493614 iosrc=threading::Manager ts=1362692526.939084
1362692526.939084/1559833828.493620 [main-loop] realtime=1559833828.493620 iosrc=PktSrc ts=1362692526.939378
1362692526.939378/1559833828.493654 [dpd] TCP[1] DeliverPacket(32, T, 18446744073709551615, 0x7ffc06367620, 32) [\xe9\xd0\x00P\xfe!2;\xa5\xaf\xce?\x80\x10 +u;\x00\x00\x01\x01\x08\x0a\x16J\xddf/\x89BY]
1362692526.939378/1559833828.493662 [dpd] CONNSIZE[6] DeliverPacket(0, T, 1, 0x7ffc06367620, 0) []
1362692526.939378/1559833828.493672 [main-loop] realtime=1559833828.493672 iosrc=threading::Manager ts=1362692526.939378
1362692526.939378/1559833828.493693 [main-loop] realtime=1559833828.493693 iosrc=threading::Manager ts=1362692526.939378
1362692526.939378/1559833828.493699 [main-loop] realtime=1559833828.493699 iosrc=PktSrc ts=1362692526.939527
1362692526.939527/1559833828.493713 [dpd] TCP[1] DeliverPacket(168, T, 18446744073709551615, 0x7ffc06367620, 168) [\xe9\xd0\x00P\xfe!2;\xa5\xaf\xce?\x80\x18 +\x04\x80\x00\x00\x01\x01\x08\x0a\x16J\xddf/\x89BYGET /dow...]
1362692526.939527/1559833828.493722 [dpd] CONTENTLINE[4] DeliverStream(136, T) [GET /download/CHANGES.bro-aux.txt HTTP/1...]
1362692526.939527/1559833828.493729 [dpd] HTTP[3] DeliverStream(42, T) [GET /download/CHANGES.bro-aux.txt HTTP/1...]
1362692526.939527/1559833828.493737 [rules] Matching HTTP-REQUEST rules [1,1] on |/download/CHANGES.bro-aux.txt|
1362692526.939527/1559833828.493758 [dpd] HTTP[3] DeliverStream(36, T) [User-Agent: Wget/1.14 (darwin12.2.0)]
1362692526.939527/1559833828.493772 [dpd] HTTP[3] DeliverStream(11, T) [Accept: */*]
1362692526.939527/1559833828.493778 [rules] Matching HTTP-REQUEST-HEADER rules [1,0] on |User-Agent|
1362692526.939527/1559833828.493783 [rules] Matching HTTP-REQUEST-HEADER rules [0,0] on |: |
1362692526.939527/1559833828.493786 [rules] Matching HTTP-REQUEST-HEADER rules [0,1] on |Wget/1.14 (darwin12.2.0)|
1362692526.939527/1559833828.493799 [dpd] HTTP[3] DeliverStream(13, T) [Host: bro.org]
1362692526.939527/1559833828.493805 [rules] Matching HTTP-REQUEST-HEADER rules [1,0] on |Accept|
1362692526.939527/1559833828.493810 [rules] Matching HTTP-REQUEST-HEADER rules [0,0] on |: |
1362692526.939527/1559833828.493815 [rules] Matching HTTP-REQUEST-HEADER rules [0,1] on |*/*|
1362692526.939527/1559833828.493824 [dpd] HTTP[3] DeliverStream(22, T) [Connection: Keep-Alive]
1362692526.939527/1559833828.493829 [rules] Matching HTTP-REQUEST-HEADER rules [1,0] on |Host|
1362692526.939527/1559833828.493833 [rules] Matching HTTP-REQUEST-HEADER rules [0,0] on |: |
1362692526.939527/1559833828.493837 [rules] Matching HTTP-REQUEST-HEADER rules [0,1] on |bro.org|
1362692526.939527/1559833828.493844 [dpd] HTTP[3] DeliverStream(0, T) []
1362692526.939527/1559833828.493850 [rules] Matching HTTP-REQUEST-HEADER rules [1,0] on |Connection|
1362692526.939527/1559833828.493854 [rules] Matching HTTP-REQUEST-HEADER rules [0,0] on |: |
1362692526.939527/1559833828.493857 [rules] Matching HTTP-REQUEST-HEADER rules [0,1] on |Keep-Alive|
